Date,T1,T2,T3,T4,T5,Percent Change 24,Percent Change 48,Percent Change 72
1/4/2016,2,0,1,0,0,0.7,-0.26,-0.92
1/6/2016,0,0,1,0,0,-0.64,6.74,5.62
1/7/2016,0,1,0,0,0,6.52,-1.05,-2.28
1/14/2016,0,0,1,0,0,-0.46,-15.33,-9.94
1/15/2016,0,0,0,-2,0,-15.32,6.37,4.93
1/18/2016,0,-1,0,0,0,1.43,-1.81,8.54
1/28/2016,-1,0,0,0,0,-3.76,-0.22,-0.54
2/1/2016,0,0,1,0,0,1,0.37,-0.83
2/3/2016,-1,0,0,0,0,-1.25,5.31,4.49
2/5/2016,-2,0,0,0,0,-0.6,-2.59,-2.57
2/7/2016,0,0,0,0,-1,0.03,-0.84,-0.16
2/9/2016,0,0,1,0,1,0.7,1.49,0.96
2/10/2016,0,0,0,0,1,1.46,-0.52,0.68
2/11/2016,0,-1,0,0,0,-0.64,1.21,3.22
2/15/2016,0,-1,0,0,0,-1.81,1.82,4.03
2/20/2016,0,0,0,0,1,3.69,0.38,0.13
2/25/2016,1,0,0,0,0,-0.12,1.79,1.88
3/9/2016,0,0,1,0,0,0.23,0.55,1.65
3/10/2016,1,0,0,0,0,0.58,1.09,-1.32
3/12/2016,0,-1,0,0,0,-2.37,0.59,1.17
3/20/2016,0,0,1,0,0,0.82,-0.11,1.05
3/30/2016,0,-1,0,0,0,-0.48,0.46,0.76
4/1/2016,0,0,1,0,0,0.29,0.7,0.7
4/20/2016,0,0,0,0,1,1.39,1.82,0.99
4/21/2016,0,0,1,0,0,1.81,-0.82,0.19
4/25/2016,0,0,1,0,0,0.5,1.01,-3.63
4/28/2016,0,0,2,0,0,0.89,1.36,-0.15
5/4/2016,0,0,0,-1,0,-0.77,0.28,2.88
5/24/2016,0,1,0,0,0,0.38,0.81,1.66
6/7/2016,-1,-1,0,0,0,-1.51,0.87,-0.34
6/17/2016,0,-1,0,0,0,-2.55,0.98,1.99
6/23/2016,0,0,1,0,0,4.44,6.62,6.59
7/6/2016,0,0,1,0,0,1.03,-5.43,-1.6
7/9/2016,0,0,0,0,1,-2.31,-0.25,-0.51
7/25/2016,-1,0,0,0,0,-1.08,-0.35,0.04
8/8/2016,0,-1,0,0,0,-0.29,-0.55,0.18
8/9/2016,0,0,0,1,0,-0.55,0.73,0.22
9/8/2016,1,0,1,0,0,1.9,-0.55,-0.45
9/17/2016,0,1,0,0,0,-0.2,0.64,0.54
9/26/2016,1,0,0,0,0,1.2,-0.31,-0.54
12/6/2016,1,0,0,0,0,0.72,0.51,0.86
12/15/2016,0,-1,0,0,0,-0.25,0.88,1.64
1/9/2017,-1,0,0,0,0,-1.14,0.54,-13.85
1/10/2017,1,0,0,0,0,0.58,-14.31,-11.33
1/11/2017,-1,0,0,0,0,-14.35,3.48,5.94
1/30/2017,0,-1,0,0,0,0.02,5.43,7.46
1/27/2017,0,0,1,0,0,0.15,0.2,-0.03
2/9/2017,-1,0,-1,0,0,-6.6,-0.57,1.01
2/6/2017,1,0,0,0,0,0.95,2.23,2.4
2/12/2017,-1,0,0,0,0,-0.43,-0.85,0.54
2/14/2017,0,0,1,0,0,1.29,0.29,2.28
2/16/2017,0,0,0,1,0,1.96,1.83,2.63
2/22/2017,0,1,0,1,0,0.24,4.41,5.03
3/8/2017,-1,0,0,0,0,-5.99,3.35,-2.89
3/21/2017,0,-1,0,0,0,6.18,-6.37,-7.31
3/17/2017,-1,0,0,0,0,-6.77,-11.49,-5.77
3/16/2017,0,0,0,0,-1,-5.08,-7.37,-18.02
3/28/2017,-1,0,1,0,0,0.25,-0.69,-1.98
3/22/2017,0,-1,0,0,0,-6.38,-1.01,-10.64
3/31/2017,1,0,0,0,0,4.4,0.81,2.83
4/3/2017,0,1,0,0,0,3.7,-0.92,-1.66
4/13/2017,-1,0,0,0,0,-2.64,-0.15,0.28
4/11/2017,1,0,0,0,0,1.48,-0.39,-2.97
4/20/2017,0,0,0,1,0,1.49,-0.57,0.21
5/5/2017,0,0,0,1,0,0.95,1.5,2.65
5/15/2017,0,-1,0,0,0,-3.87,-0.23,5.79
5/16/2017,0,-1,0,0,0,-0.42,6.03,8.89
5/11/2017,0,0,1,0,0,3.83,-6.73,-2.36
5/23/2017,0,0,0,0,1,5.88,5.31,-0.67
6/1/2017,1,0,0,0,0,5.22,3.35,4.46
6/2/2017,1,0,0,0,0,3.52,1.08,0.93
6/6/2017,0,0,0,-1,0,6.41,-4.58,-2.01
6/14/2017,0,0,0,-1,0,-7.75,-1.67,0.49
6/27/2017,0,1,0,0,0,2.99,0.88,-0.51
6/26/2017,-1,-1,0,0,0,-4.33,2.99,3.89
7/5/2017,0,-1,0,0,0,-0.03,0.25,-3.2
7/3/2017,0,0,0,1,0,2.62,1.47,1.48
7/1/2017,1,0,0,0,0,-2.33,2.95,5.32
7/20/2017,0,0,0,0,1,24.13,-5.32,-0.27
7/18/2017,0,0,0,1,0,3.82,-1.96,21.51
7/14/2017,0,0,1,0,0,-5.39,-10.5,-13.59
7/19/2017,-1,0,0,0,0,-2.14,23.94,17.35
7/30/2017,0,0,0,0,1,1.2,4.29,-1.41
7/27/2017,0,0,0,-1,0,5.24,5.14,2.05
7/29/2017,-1,0,0,0,0,-2.87,1.13,5.46
7/31/2017,0,0,0,0,1,4.06,-5.46,-5.73
7/24/2017,0,0,0,0,1,0.81,-6.48,-8.18
7/25/2017,0,0,0,0,-2,-6.56,-1.83,3.7
8/1/2017,0,0,0,0,-1,-5.33,-0.28,3.18
8/9/2017,0,0,0,-1,0,-2.28,1.16,9.22
8/4/2017,0,0,0,0,1,3.17,12.33,10.98
8/8/2017,2,0,1,0,1,1.48,-2.27,-1.13
8/17/2017,-1,0,0,0,0,-1.2,-3.95,-3.19
8/21/2017,0,0,0,0,-1,-2.17,2.47,3.74
8/18/2017,0,0,0,1,0,-3.79,0.8,-1.75
8/13/2017,0,0,1,0,0,4.98,6.18,2.67
8/25/2017,0,0,1,0,0,0.9,-0.44,0.26
8/24/2017,0,0,1,0,0,4.76,0.85,0.41
8/22/2017,0,0,0,1,0,2.56,1.24,5.71
8/26/2017,-1,0,0,0,0,-0.45,0.7,0.7
9/4/2017,-1,0,0,0,0,-7.74,3.31,8.52
9/8/2017,-2,0,0,1,0,-8.17,-0.06,-2.5
9/6/2017,1,0,0,0,0,5.04,0.06,-8.01
9/5/2017,1,0,0,-1,0,3.51,5.04,5.1
9/14/2017,-1,0,0,0,0,-18.59,15.3,14.9
9/12/2017,0,0,0,-1,0,-0.91,-6.01,-23.62
9/11/2017,-1,0,0,0,0,0.94,-0.73,-6.7
9/19/2017,0,0,0,-1,0,-3.65,-0.48,-7.49
9/16/2017,0,-1,0,0,0,-0.35,-1.16,12.14
9/21/2017,-1,0,0,0,0,-6.93,-0.01,4.44
9/13/2017,0,0,0,-2,0,-6.04,-18.74,-6.31
9/29/2017,-2,0,0,1,0,-0.2,4.22,5.78
9/27/2017,0,0,-1,-1,0,7.9,-0.62,-0.9
9/22/2017,0,0,0,1,0,0.07,4.45,1.44
9/26/2017,0,0,0,-1,0,-0.92,7.92,7.25
10/2/2017,0,0,1,0,0,0.31,-2.08,-4.08
10/10/2017,-1,0,0,0,0,0.12,0.93,13.9
10/5/2017,0,0,0,1,0,2.33,0.98,2.28
10/4/2017,0,0,0,0,-1,-2.08,2.34,3.34
10/13/2017,0,0,0,-1,0,3.35,3.27,0.55
10/16/2017,1,0,0,0,0,0.67,-2.1,-2.36
10/17/2017,0,0,0,-1,0,-2.37,-0.26,1.84
10/18/2017,-1,0,0,0,0,-0.23,2.11,7.53
10/21/2017,0,0,1,0,0,0.58,-0.38,-1.68
10/11/2017,0,0,0,2,0,0.78,12.85,17
10/20/2017,0,0,0,1,0,5.31,0.34,-0.05
10/31/2017,1,0,1,0,1,5.49,4.62,9.43
10/29/2017,1,0,0,0,0,6.94,-0.38,5.11
10/25/2017,1,0,0,0,0,4.09,2.68,0.52
10/27/2017,0,0,0,-1,0,-2.01,-0.48,6.45
11/2/2017,0,0,0,2,0,4.44,1.83,4.26
11/7/2017,-1,0,0,1,0,1.73,4.41,-0.01
11/9/2017,-1,0,0,-1,0,-4.07,-7.36,-11
11/6/2017,0,0,0,1,0,-5.14,1.73,6.22
11/1/2017,0,0,1,0,0,5.07,4.6,6.51
11/4/2017,0,0,0,1,0,3.01,0.37,-4.84
11/12/2017,0,0,0,0,-1,-5.49,10.24,11.52
11/16/2017,0,0,1,0,0,7.49,-2.07,-1.04
11/17/2017,0,0,0,1,0,-1.84,1.05,4.25
11/29/2017,0,0,1,-3,0,-1.87,3.49,10.99
11/27/2017,0,0,0,1,0,4.98,2.45,0.72
11/22/2017,0,0,0,-1,0,2.17,-2.6,0
11/30/2017,0,0,0,-1,0,3.3,7.25,8.22
11/28/2017,0,0,1,0,0,2.4,-1.69,1.74
11/26/2017,0,0,0,1,0,6.16,5.23,7.81
12/1/2017,1,0,0,0,0,7.62,0.9,3.17
12/4/2017,0,0,1,1,0,3.02,2.23,22.6
12/8/2017,0,0,0,-1,0,-6.93,-8.4,-6.72
12/9/2017,0,0,0,-1,0,-8.14,1.83,11.59
12/19/2017,-1,0,0,0,0,-7.02,-6.48,-11.1
12/11/2017,0,0,0,1,0,9.78,2.83,-3.12
12/28/2017,-1,0,0,0,0,-7.93,0.34,-11.33
12/29/2017,0,0,0,-1,0,-0.27,-11.63,-3.41
12/27/2017,-2,0,0,-1,0,-2.01,-7.78,-7.46
12/22/2017,0,-1,-1,-1,0,-13,6.27,0.68
12/25/2017,0,0,0,-1,0,0.22,14.78,12.92
12/26/2017,0,0,0,1,0,14.7,-1.62,-9.28
